temp,humidity,label
38.0,85.0,2
10.0,50.0,-1
38.0,85.0,2
38.0,85.0,2
38.0,85.0,2
38.0,85.0,2
38.0,85.0,2
38.0,85.0,2
38.0,85.0,2
28.0,50.9,1
28.0,50.2,1
28.0,49.5,1
28.1,49.5,1
28.4,48.9,1
28.5,48.5,1
28.6,48.2,1
28.7,48.8,1
28.4,48.5,1
28.1,48.9,1
28.3,49.5,1
28.2,49.9,1
28.1,50.1,1
27.9,50.7,1
27.7,51.3,1
27.8,51.3,1
27.7,51.2,1
25.5,82.8,1
25.4,75.9,0
25.4,79.0,1
25.3,63.4,0
25.8,81.6,1
26.0,59.3,0
26.2,83.1,1
26.1,63.4,0
26.3,71.4,1
26.3,57.1,0
28.3,59.7,1
32.1,45.8,2
33.4,54.2,2
30.3,48.0,1
28.4,51.7,1
28.4,51.6,1
28.4,52.1,1
28.4,54.0,1
28.4,52.3,1
28.4,52.5,1
28.3,52.2,1
28.2,53.0,1
28.4,52.2,1
28.5,62.5,1
29.0,68.8,2
29.2,63.3,1
28.9,51.2,1
28.6,51.3,1
28.4,51.8,1
30.2,51.5,1
30.1,49.8,1
30.1,49.3,1
29.9,49.3,1
29.8,48.7,1
29.4,48.7,1
29.3,50.1,1
29.1,50.0,1
29.1,50.5,1
29.1,51.0,1
29.1,53.5,1
29.1,55.3,1
29.0,51.2,1
29.0,50.3,1
29.0,49.9,1
29.0,50.4,1
29.0,49.6,1
28.6,50.8,1
28.7,50.9,1
